price,v1,v2,time
119.4534536,56395,0.797528837,06-11-2017 20.58
129.2063812,22185,0.981404345,13-07-2017 8.35
127.5267389,17695,,04-03-2017 13.44
149.8344833,26277,0.076323808,04-09-2017 2.27
141.6005322,24564,0.672943859,18-04-2017 2.03
126.6597936,346,0.647285972,28-03-2017 12.07
105.0106278,9583,0.284018691,02-05-2017 21.18
106.4810977,53980,0.192184438,05-10-2017 1.28
138.0813104,3020,0.55401615,06-02-2017 4.51
150.1175811,26667,0.068006125,19-01-2017 12.04
105.4783598,11265,0.503272198,19-04-2017 14.32
113.5277097,44571,0.599241638,09-08-2017 23.21
121.9135421,27081,0.406551313,08-05-2017 22.43
109.0041714,47217,0.303292576,28-06-2017 1.56
118.6074482,56380,0.111946364,27-11-2017 9.57
120.6906504,30572,0.50942315,13-02-2017 11.07
116.168492,26482,0.198657692,24-09-2017 0.14
132.4870604,49271,0.879154989,09-11-2017 18.16
103.5475972,54269,0.170684764,13-02-2017 19.45
132.6832543,26044,0.604472205,11-08-2017 23.31
127.0260758,14808,0.446902533,27-09-2017 14.38
114.0972885,42683,0.359519455,09-08-2017 21.58
106.7365503,56266,0.003782213,12-10-2017 10.13
169.5086051,55299,0.568007715,14-09-2017 15.31
116.7572171,53436,0.353422747,16-02-2017 9.07
131.7150445,23882,0.488558893,11-04-2017 18.03
112.6612093,20466,0.828716108,16-06-2017 12.03
136.558231,11899,0.119749206,09-06-2017 19.03
138.5201856,24039,0.020917598,17-08-2017 19.41
132.884854,2525,0.407730973,15-12-2017 4.15
112.1065461,42597,0.607549827,29-07-2017 17.03
120.196873,3516,0.102921751,27-08-2017 3.22
138.6029363,37922,0.846706364,03-10-2017 20.46
119.3457477,21899,0.441274046,04-05-2017 15.44
147.7006116,4608,0.358274574,30-05-2017 11.50
104.5154754,56246,0.763456433,05-10-2017 10.10
113.1409116,43296,0.001853485,16-05-2017 12.20
133.8079458,31107,0.474811349,04-08-2017 2.40
140.9828593,50891,0.898101066,01-11-2017 0.34
105.3294998,36681,0.881820706,01-01-2018 22.52
101.179132,45390,0.918092442,14-02-2017 4.20
129.2238562,36657,0.91923946,22-12-2017 13.44
99.99435951,47391,0.593040286,30-04-2017 2.37
135.1888181,8024,0.880918471,11-02-2017 8.11
127.6087236,35308,0.299717544,11-05-2017 0.39
82.39315552,17323,0.061359583,30-09-2017 3.35
100.6067798,15149,0.64211947,11-03-2017 13.56
124.1599475,51354,0.629571291,07-07-2017 23.41
143.9567685,43493,0.922834424,29-11-2017 11.02
131.1271309,9603,0.437669929,10-11-2017 15.08
131.8951135,21840,0.93188209,25-06-2017 11.33
111.0083728,45763,0.763883081,01-02-2017 16.15
94.2072376,26753,0.298173759,26-08-2017 16.34
137.1812738,1983,0.979379632,17-08-2017 10.32
140.4541349,32510,0.389613941,27-04-2017 23.04
122.0144597,38567,0.187066418,04-12-2017 7.32
119.3940291,46137,0.07901051,08-12-2017 19.24
119.2519361,10361,0.655933169,04-12-2017 6.06
132.4396857,53063,0.825486119,15-09-2017 22.55
120.8887256,15701,0.389202315,25-06-2017 1.59
130.4329422,17008,0.368443156,03-02-2017 11.13
128.618394,13490,0.607293736,24-03-2017 2.03
102.2143511,6759,0.018505406,02-11-2017 16.06
121.9681211,9632,0.156949916,23-10-2017 7.58
141.5216807,633,0.589516766,12-06-2017 5.12
113.6176672,50027,0.347837757,11-08-2017 16.20
82.88560687,2970,0.102411691,17-05-2017 20.05
81.47795664,39165,0.911466143,27-09-2017 9.32
139.3219293,12639,0.97017564,28-10-2017 15.00
132.0682147,44585,0.636495671,15-06-2017 10.06
107.2497038,32795,0.980070608,03-08-2017 17.11
129.7027237,24371,0.683284284,17-04-2017 7.24
106.070403,13200,0.63348144,11-03-2017 2.50
143.5357314,22180,0.873756045,10-12-2017 14.40
92.89543698,54121,0.566766863,22-06-2017 4.30
96.64679205,31854,0.908885963,14-02-2017 22.20
88.21459985,32465,0.77659509,26-05-2017 18.43
148.4165801,32140,0.75970083,23-10-2017 21.10
123.8342287,23532,0.305686501,24-05-2017 4.02
121.3836972,48506,0.59299312,08-07-2017 23.01
140.3928954,6123,0.650630247,20-12-2017 22.38
125.8665812,37585,0.315519197,12-12-2017 22.48
83.2447273,46675,0.589124964,21-08-2017 14.35
122.9340817,643,0.84941666,01-12-2017 4.40
126.7515357,24508,0.615951231,03-07-2017 7.30
79.60488604,33115,0.947919728,05-08-2017 5.27
147.9960592,34064,0.930685441,11-11-2017 22.31
129.1478049,25850,0.220382827,07-02-2017 18.39
131.0369164,5639,0.356120008,16-05-2017 8.13
115.0905736,55958,0.565384552,27-02-2017 6.14
136.9114512,21521,0.343544456,13-04-2017 10.53
112.8016942,16829,0.188026781,03-10-2017 19.00
120.2587217,5552,0.788821613,15-08-2017 15.31
96.26093543,55995,0.851064852,12-12-2017 18.42
103.96093,20426,0.291355616,13-07-2017 18.16
142.47487,32478,0.288467182,08-05-2017 19.00
103.6731038,5919,0.835893772,23-07-2017 2.22
132.603515,28253,0.548728169,21-07-2017 6.41
124.2132628,40370,0.483216888,17-05-2017 6.32
123.8101161,46174,0.473933572,27-08-2017 21.41
136.2872233,51858,0.580049079,30-06-2017 14.46
100.3339038,47991,0.985433591,27-08-2017 14.53
138.0467249,56156,0.586824238,01-07-2017 2.32
107.3612144,37563,0.872578043,03-09-2017 0.55
97.42861875,31659,0.371183424,05-12-2017 17.04
125.9942691,20421,0.297541537,24-10-2017 0.23
123.9111366,2853,0.593565936,14-11-2017 12.12
158.2464455,30714,0.184064799,12-09-2017 18.45
142.0935946,23953,0.948185403,07-09-2017 7.29
118.1885989,45157,0.516511882,07-06-2017 19.09
87.68455374,45594,0.379546575,21-02-2017 5.32
104.3834658,36755,0.697877115,25-04-2017 19.35
113.4501814,39148,0.359797631,03-09-2017 13.11
136.2469631,38783,0.7911482,04-06-2017 10.54
124.2224769,54968,0.69647834,15-11-2017 19.45
107.0512436,22361,0.380826004,15-12-2017 20.46
135.094887,44425,0.110419157,26-06-2017 7.56
102.1037053,6040,0.215574267,06-08-2017 14.18
129.7550503,31617,0.74457464,07-05-2017 0.15
84.59594935,19540,0.221631715,01-03-2017 21.09
124.212609,9074,0.289021564,07-06-2017 13.14
69.32003795,47489,0.380321219,03-11-2017 15.43
120.2884116,15648,0.366361805,10-06-2017 0.54
121.293232,11438,0.507486459,08-08-2017 22.29
139.3428001,47449,0.508674914,31-08-2017 5.53
130.2326498,45348,0.756743666,23-01-2017 6.54
106.2803152,36083,0.29748355,26-06-2017 21.38
107.4238612,15992,0.22736166,18-04-2017 1.06
146.999267,17588,0.143055753,22-01-2017 3.15
110.3147448,6347,0.486802044,23-02-2017 15.48
89.18048891,46704,0.797507328,06-06-2017 3.17
105.9229598,1309,0.508272672,23-01-2017 4.30
111.4129843,24735,0.909899697,28-06-2017 16.52
109.1568583,49162,0.18362885,25-04-2017 21.55
108.555981,3014,0.528440232,06-07-2017 23.02
127.4259693,45318,0.830999377,08-05-2017 11.04
138.8231747,49901,0.061121083,23-08-2017 12.55
145.2417703,5389,0.012152604,08-10-2017 7.25
103.2747432,49455,0.390693133,04-03-2017 5.37
122.5021502,19341,0.688010091,02-05-2017 4.16
109.0270346,34753,0.616851401,04-02-2017 12.28
105.040347,3912,0.878042604,05-11-2017 14.06
115.0749377,27986,0.778885742,14-03-2017 6.47
143.2304021,6158,0.259691265,20-03-2017 20.29
118.2991743,34379,0.042893365,07-06-2017 2.18
152.3464735,46896,0.891765177,16-06-2017 21.45
124.7022062,23730,0.98210387,15-11-2017 2.11
120.0173218,16381,0.956430503,02-07-2017 7.18
134.5762252,1613,0.581756477,22-09-2017 20.37
140.4038044,55168,0.09137673,02-07-2017 17.39
125.3532616,32949,0.966928971,14-09-2017 2.02
109.4937468,8045,0.910833777,15-09-2017 2.24
109.0986062,9810,0.808786542,16-02-2017 0.33
128.1051139,38396,0.11703672,05-06-2017 11.39
96.02830283,35706,0.889826704,07-04-2017 16.28
134.2921678,25885,0.431193756,11-10-2017 22.16
125.2122381,23586,0.287162142,18-09-2017 0.12
116.2691726,52513,0.767262663,20-03-2017 8.15
127.0739468,21530,0.892986528,21-11-2017 12.22
125.3391043,27560,0.534115751,15-04-2017 21.00
146.2045722,26699,0.149359478,27-10-2017 14.25
124.0901472,45678,0.399303588,24-12-2017 21.29
125.2876435,26804,0.530190394,11-03-2017 17.06
151.0277703,36449,0.589107774,26-06-2017 22.28
131.6516699,19668,0.822626163,17-07-2017 8.05
125.6563258,25995,0.807547783,25-11-2017 3.02
145.1745852,17081,0.828300671,13-07-2017 17.44
102.4503003,45540,0.079475702,18-01-2017 11.18
97.02482952,24985,0.273541061,11-08-2017 10.17
108.2447462,48141,0.228118293,24-04-2017 10.23
104.3058483,11700,0.890311789,22-02-2017 14.41
105.0143655,49098,0.75112601,19-06-2017 23.57
127.0224858,17618,0.851325449,31-01-2017 6.02
85.66349327,42774,0.284961735,16-07-2017 16.50
135.3800589,44675,0.870472784,03-08-2017 7.20
125.6842059,5440,0.42823337,28-03-2017 20.52
117.5372083,10682,0.131881451,04-05-2017 15.00
113.7189242,29237,0.668076384,30-04-2017 1.58
99.61997324,23207,0.827722568,08-09-2017 16.41
102.7145258,18317,0.768182754,31-01-2017 20.54
134.6133504,8815,0.448854752,27-10-2017 20.58
121.1361635,54708,0.305258015,14-08-2017 0.33
116.8741014,50504,0.32760153,09-11-2017 17.57
120.1346579,43299,0.690466069,08-04-2017 23.01
135.0699547,28750,0.823756673,13-02-2017 7.12
141.9307272,6809,0.428638789,13-01-2017 7.49
130.0739576,924,0.372037228,04-08-2017 21.54
131.0153917,38931,0.725297481,17-07-2017 13.28
110.8378172,28689,0.730165488,06-08-2017 22.39
111.9923486,15436,0.235605376,30-10-2017 17.13
104.8086996,41520,0.955513686,13-09-2017 0.49
141.5428904,10601,0.342688342,18-12-2017 10.34
126.2521544,52568,0.505249999,08-03-2017 11.08
111.8513022,46170,0.752734305,17-10-2017 14.39
110.185792,55640,0.544394701,31-01-2017 7.35
121.1926479,41892,0.519370119,20-06-2017 15.17
110.4906369,6185,0.495497822,19-06-2017 2.00
95.68499066,32523,0.198775185,25-11-2017 10.12
107.3347778,26277,0.204794026,31-12-2017 1.54
112.7965694,31328,0.453254674,30-10-2017 5.39
94.26006746,7970,0.608087555,09-10-2017 20.57
130.6707149,2869,0.390804272,21-06-2017 5.13
119.5792998,1966,0.80481677,09-06-2017 6.46
113.3670278,28127,0.786997669,19-04-2017 14.18
114.4299714,22590,0.101499697,01-01-2018 3.48
126.4633824,30951,0.869563255,05-09-2017 7.11
137.2125491,53524,0.732236588,10-01-2017 1.53
94.0951969,26645,0.572534315,13-10-2017 22.40
111.1417335,42158,0.81017707,15-06-2017 13.53
147.9624099,13852,0.95209935,10-11-2017 10.56
113.6735238,45170,0.754881523,20-11-2017 14.16
122.8026814,47761,0.254570423,04-10-2017 12.07
117.5049751,15606,0.617782767,07-02-2017 0.13
144.0073475,24571,0.392514408,23-11-2017 13.45
134.0093895,44404,0.100827085,24-12-2017 20.44
139.8035257,6998,0.597081612,09-04-2017 22.13
120.2547079,10511,0.585737464,31-08-2017 7.48
100.0923566,899,0.773018728,29-12-2017 17.56
123.4693658,13603,0.044256548,02-07-2017 4.31
135.8943546,22774,0.209815129,30-09-2017 3.30
134.6641324,6125,0.930124361,23-08-2017 1.35
83.55266459,12587,0.690038356,18-11-2017 23.16
112.3637416,2972,0.731567495,07-08-2017 5.17
110.9424241,27166,0.18969283,28-11-2017 2.59
116.8380452,6880,0.799643947,26-03-2017 17.52
112.7848778,42786,0.896545955,12-02-2017 15.51
154.533308,6560,0.084697815,15-05-2017 21.48
105.8657536,3739,0.901173254,06-11-2017 9.21
110.0119705,41686,0.03741708,11-12-2017 14.15
120.3706735,54897,0.963612794,15-11-2017 21.16
129.7396948,49503,0.754233676,10-03-2017 5.51
95.58414286,43504,0.047576992,07-02-2017 3.23
124.3815951,24242,0.210272434,08-08-2017 7.26
141.5895559,10913,0.519233188,24-12-2017 13.32
131.3437421,24930,0.67668024,28-12-2017 23.06
119.6725926,3327,0.094436927,02-11-2017 16.42
136.2520952,48034,0.771161906,29-09-2017 5.06
129.9143188,37908,0.785932567,16-11-2017 0.09
112.5796756,17397,0.289556488,10-12-2017 23.44
118.3418233,39167,0.471524565,05-09-2017 5.54
137.9565659,41210,0.254597843,12-12-2017 12.28
97.73774109,11255,0.922997313,03-03-2017 8.58
110.1376707,30594,0.889197345,29-11-2017 19.57
131.4338728,15774,0.031870176,29-06-2017 12.07
108.0852499,3565,0.898239567,08-12-2017 8.08
117.4781376,45704,0.408525168,30-01-2017 6.05
118.7535334,29033,0.871118973,17-02-2017 12.04
93.3080136,23592,0.054940513,17-02-2017 10.25
122.0825092,16329,0.060572094,07-10-2017 2.50
116.0488761,38782,0.007455292,16-06-2017 0.16
139.3777421,20643,0.706564498,14-12-2017 2.35
140.2384266,46689,0.645091664,12-12-2017 12.02
112.4041859,55089,0.17460589,07-08-2017 4.53
117.068578,24553,0.48845709,18-12-2017 20.42
131.5713635,26833,0.710534894,24-12-2017 15.54
118.4828137,22919,0.220897973,29-09-2017 17.29
102.3724017,56469,0.18663664,18-08-2017 8.27
130.9471506,5791,0.891404244,02-05-2017 19.25
96.16336062,50325,0.788398512,16-02-2017 5.51
109.9790998,42507,0.953981846,12-07-2017 22.54
108.9565558,11818,0.395169282,13-10-2017 6.19
134.2181364,55257,0.624880347,10-05-2017 0.37
138.4914654,6013,0.820721394,08-07-2017 2.34
125.146487,8671,0.076428198,12-11-2017 9.49
118.075573,25970,0.918564734,03-11-2017 10.40
114.8908339,56149,0.551968857,08-06-2017 23.23
81.51378885,50780,0.550958018,08-08-2017 11.06
114.7160584,18140,0.628247585,08-09-2017 21.11
141.7966997,3454,0.880222232,14-12-2017 12.46
113.5407728,39883,0.554527309,15-07-2017 22.27
125.2833823,29783,0.894917473,25-08-2017 12.47
123.1118437,46865,0.688447084,22-11-2017 18.57
125.6522349,15109,0.776032108,02-04-2017 5.01
113.0238113,41994,0.432495884,01-12-2017 22.59
133.2501682,27485,0.990207536,18-10-2017 11.22
117.6453758,56727,0.582092164,05-11-2017 9.16
115.4326214,15112,0.827012167,11-09-2017 3.11
115.3611424,49011,0.500303494,25-01-2017 0.25
113.0439823,2477,0.441663325,08-04-2017 5.28
118.9827165,56297,0.019298513,25-05-2017 8.11
91.64806099,15095,0.667132672,14-01-2017 19.20
116.5373477,14133,0.39029994,05-11-2017 7.36
95.13772139,19408,0.865907238,04-12-2017 2.50
115.6222925,55432,0.033462657,27-02-2017 23.57
154.0434522,24833,0.626026453,29-12-2017 6.23
111.8396141,1871,0.744269214,05-06-2017 13.05
136.4020822,22913,0.860862253,28-01-2017 3.59
105.1462379,44285,0.711874408,11-06-2017 0.02
120.674098,45596,0.822883317,23-04-2017 8.49
125.5952383,2059,0.665498732,12-10-2017 21.53
137.1231382,32379,0.3538677,10-02-2017 22.23
127.4835378,50035,0.140825456,22-11-2017 10.12
114.9519483,48824,0.482263542,23-08-2017 17.46
123.5286215,6213,0.523836459,10-04-2017 11.49
116.8612869,56625,0.650687012,30-06-2017 1.19
112.4370087,25505,0.848561014,24-08-2017 6.02
112.8885263,9141,0.386441949,03-04-2017 0.47
127.1795339,6527,0.944530567,15-06-2017 10.41
129.113005,4746,0.809552673,10-07-2017 6.42
123.9701494,3857,0.695725762,09-05-2017 19.36
123.5066938,52130,0.489184239,09-05-2017 2.12
115.9850427,12625,0.342499521,26-05-2017 22.16
155.8951813,32742,0.576904983,18-08-2017 19.06
88.82379623,827,0.56824883,10-04-2017 3.27
85.28581577,44093,0.115968318,21-10-2017 3.14
134.6798356,30190,0.424244387,05-02-2017 14.04
112.6582449,17031,0.639592633,30-11-2017 16.05
138.0175813,29908,0.220692216,02-11-2017 19.52
121.8037466,52302,0.102619578,12-09-2017 12.58
117.8542861,29310,0.448057833,02-03-2017 0.31
95.98823712,448,0.525174579,01-04-2017 7.39
134.7661429,43084,0.162619791,01-08-2017 18.56
132.3949413,41317,0.539042617,03-09-2017 2.53
111.710148,45599,0.165850608,23-11-2017 15.46
119.261411,7736,0.746074794,08-05-2017 17.01
139.3166031,54890,0.452843401,02-12-2017 23.03
148.1944481,21327,0.534207134,24-04-2017 13.27
111.0389018,23865,0.449595746,10-03-2017 6.55
114.2593597,2396,0.709431775,05-12-2017 5.08
124.2235567,36156,0.550844303,16-08-2017 19.39
124.5829035,10096,0.996326139,22-03-2017 13.55
138.1393254,38656,0.322133467,07-05-2017 6.53
125.971616,10113,0.870256837,29-07-2017 8.18
145.5489787,11717,0.431548963,17-12-2017 22.46
128.6537627,54913,0.053870988,01-05-2017 2.52
99.72511792,25702,0.526006406,11-10-2017 6.47
118.754353,19279,0.342592294,11-04-2017 7.57
148.0620157,16800,0.16474733,25-07-2017 13.46
116.3722752,26038,0.361333926,02-05-2017 11.26
127.6636211,18517,0.704405757,02-11-2017 12.26
137.5573191,1954,0.12859386,18-09-2017 10.03
113.7219989,4366,0.138529833,22-06-2017 10.28
108.6150623,45054,0.245194644,16-12-2017 20.11
120.4253158,30079,0.126189104,01-03-2017 9.06
107.9863484,42986,0.598176332,19-09-2017 3.05
107.3107088,44579,0.255669214,02-02-2017 17.56
149.7876074,48492,0.112770447,26-01-2017 13.24
112.9221453,14921,0.132859708,07-11-2017 0.54
142.385897,53793,0.214180228,05-07-2017 21.03
117.8396547,33595,0.042406091,26-07-2017 23.29
148.5688979,40090,0.411046705,26-05-2017 2.27
90.73780157,27982,0.171473688,20-08-2017 2.35
91.30978433,34866,0.182209213,01-09-2017 0.16
101.890457,28443,0.221503247,12-10-2017 5.53
114.1188906,12604,0.641038454,09-05-2017 12.20
116.6408833,55726,0.765241544,09-04-2017 9.48
104.0576777,5570,0.081871808,09-10-2017 12.00
129.7903259,18368,0.61356765,15-05-2017 14.43
127.1873481,23374,0.489721518,21-04-2017 12.40
